Empresa,CIF,URL,Tipo_URL,Dirección,Teléfono,Email,Dirección_val,Teléfono_val,Email_val,Auditoría
ACCIONA AGUA SAU,A95113361,https://www.acciona.com/es,http,No encontrada,+34 91 663 28 50,accionacorp@acciona.com,✗,✓,✓,D:✗ T:✓ E:✓
ACEINSA MOVILIDAD SA,A84408954,https://aceinsa.es/web2/,http,Polígono Industrial Ventorro del Cano 28925 Alcorc,91 495 95 90 ,aceinsa@aceinsa.es,✓,✓,✓,D:✓ T:✓ E:✓
AGRUPACION EUROPEA DE INDUSTRIAS DE TRANSFORMACION SL,B83037606,https://www.iberinform.es/empresa/218653/agrupacion-europea-de-industrias-de-transformacion,http,"Calle Teruel, 11, Local 9 , Edificio Empresarial",No encontrado,atencionclientes@iberinform.es,✓,✗,✓,D:✓ T:✗ E:✓
AIJONMUSIC SA,A83299750,https://www.ibermusica-artists.es/es,http,No encontrada,+34 91 426 03 97 ,artists@ibermusica.es,✗,✓,✓,D:✗ T:✓ E:✓
ALBINI MAQUINARIA DE JARDINERIA SLU,B82205030,https://www.albimaq.com/,http,"Calle Batalla de Torrijos, 23 ",914 630 212 ,albimaq@albimaq.com,✓,✓,✓,D:✓ T:✓ E:✓
ALLIANCE LAUNDRY SYSTEMS SPAIN SLU,B64120793,https://alliancelaundry.com/es/contacta-con-nosotros/,http,No encontrada,1 920 748 3121 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
ANA MARIA CASAS FONTENLA,44076683N,https://imserso.es/documents/20123/2949047/est_emp_con_res_sup_pro_est_20240702.pdf/6fb98548-cc02-1d14-4c21-62b3a27e927e,pdf,Archivo PDF,Archivo PDF,Archivo PDF,✓,✓,✓,D:✓ T:✓ E:✓
APHELION SOLUCIONES INFORMATICAS SL,B97285720,https://addinformatica.com/,http,No encontrada,961 588 133 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
ARIDOS ANFERSA SL,B18487421,https://www.anfersa.es/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
ASFALTIA SL,B47607775,https://www.asfaltia.com/,http,No encontrada,943 470 018 ,asfaltia@asfaltia.com,✗,✓,✓,D:✗ T:✓ E:✓
ASHO,B60580503,https://www.asho.net/,http,Calle Pallars 147 Primera Planta 08018 Barcelona Telf,932651313 ,asho@asho.net,✓,✓,✓,D:✓ T:✓ E:✓
ASOCIACION FAMILIARES ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE LANZAROTE,G35439785,https://afalanzarote.com/,http,No encontrada,No encontrado,No encontrado,✗,✗,✗,D:✗ T:✗ E:✗
AUCAR TRAILER SL,B62187711,https://aucartrailer.com/,http,No encontrada,93 752 42 83 ,aucar@aucartrailer.com,✗,✓,✓,D:✗ T:✓ E:✓
AXA SEGUROS GENERALES SA DE SEGUROS Y REASEGUROS,A60917978,https://www.axa.es/,http,No encontrada,911 119 508 ,No encontrado,✗,✓,✗,D:✗ T:✓ E:✗
