empresa,url,email,telefono,direccion,error
ACCIONA AGUA SAU,https://www.acciona.com/es,,,,TimeoutError
ACEINSA MOVILIDAD SA,https://aceinsa.es/web2/,aceinsa@aceinsa.es,,,
AGRUPACION EUROPEA DE INDUSTRIAS DE TRANSFORMACION SL,https://www.iberinform.es/empresa/218653/agrupacion-europea-de-industrias-de-transformacion,,963286276,,
AIJONMUSIC SA,https://www.ibermusica.es/es,,,,
ALBINI MAQUINARIA DE JARDINERIA SLU,https://www.albimaq.com/,albimaq@albimaq.com,,"Calle Batalla de Torrijos, 23",
ALLIANCE LAUNDRY SYSTEMS SPAIN SLU,https://alliancelaundry.com/es/contacta-con-nosotros/,,,,
ANA MARIA CASAS FONTENLA,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=2809fb2b-c1b4-48cb-84f1-5450b75c2eba,,,,"Page.goto: net::ERR_ABORTED at https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=2809fb2b-c1b4-48cb-84f1-5450b75c2eba
Call log:
  - navigating to ""https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=2809fb2b-c1b4-48cb-84f1-5450b75c2eba"", waiting until ""load""
"
APHELION SOLUCIONES INFORMATICAS SL,https://addinformatica.com/,rgpd@addinformatica.com.,,,
ARIDOS ANFERSA SL,https://www.anfersa.es/,,,,
ASFALTIA SL,https://www.asfaltia.com/,asfaltia@asfaltia.com,,"CALLES DE ERRENTERÍAasfaltia2021-02-16T19:10:03+01:00




						ASFALTADO DE CALLES DE ERRENTERÍA					





ASFALTADO DEL POLÍGONO INDUSTRIAL 103 DE LEZOasfaltia2021-02-16T18:42:35+01:00




						ASFALTADO DEL POLÍGONO INDUSTRIAL 103 DE LEZO					





VER TODOS LOS PROYECTOSPunteros en soluciones innovadorasInvestigación, mejora, vanguardia
ASFALTIA Y LA INNOVACIÓNActualidad








						Asfaltia recibe un reconocimiento en los Premios Basque Circular BEST 2025					








Asfaltia recibe un reconocimiento en los Premios Basque Circular BEST 2025asfaltia2025-04-05T10:12:34+02:002025/4/5|Los premios Basque Circular BEST 2025 han reconocido los mejores productos, servicios, modelos de negocio y empresas emergentes circulares deLeer más










						Asfaltia expone avances en la implementación de mezclas sostenibles en la última reunión de ATEB					








Asfaltia expone avances en la implementación de mezclas sostenibles en la última reunión de ATEBasfaltia2025-02-24T21:47:26+01:002025/2/24|  La Asociación Técnica de Emulsiones Bituminosas (ATEB) ha reunido a destacados expertos del sector para compartir avances recientesLeer más










						Asfaltia reconocida por su contribución al Fondo de Carbono Voluntario de Gipuzkoa					








Asfaltia reconocida por su contribución al Fondo de Carbono Voluntario de Gipuzkoaasfaltia2025-02-24T21:20:17+01:002025/2/24|  Un año mas, ASFALTIA y CAMPEZO han sido reconocidas por su contribución al Fondo de CarbonoLeer más










						Asfaltia obtiene el Certificado de Huella Ambiental Corporativa					








Asfaltia obtiene el Certificado de Huella Ambiental Corporativaasfaltia2024-08-21T17:33:54+02:002024/8/19",
